The Sectors Emitting GHG (Gg),2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Main Activity Electricity and Heat Production,110417.119,128979.5418,121313.7845,132525.9439,142485.7724,146966.2654,136748.0581,132459.0858,144977.6329,160841.0097
Glass Production,318.6228472,355.996373,344.443948,398.1795082,437.5324574,442.673243,439.600647,425.461182,482.5490937,500.2033288
Civil Aviation,2425.649436,2998.759456,3677.197804,4160.468956,3698.883048,3838.288188,3633.827316,2101.241073,2208.603756,3289.899344
Road Transportation no resuspension,52242.53238,55759.48911,67528.5599,73692.22562,77684.81182,77762.21536,78460.59554,75563.31147,80789.89016,83959.71011
Petroleum Refining - Manufacture of Solid Fuels and Other Energy Industries,11740.59086,11272.92957,14311.73145,16528.72324,18567.86402,14834.88234,15573.66261,13777.3936,14896.59182,14683.85734
Product Uses as Substitutes for Ozone Depleting Substances,4060.64581,4482.220058,4377.866986,4800.968077,5047.326904,5002.074228,5534.197833,6103.156827,6390.092571,6711.441533
Solid Fuels,6438.117286,5970.381266,6275.482814,6656.356096,6752.443166,7252.1163,7686.980148,6526.563712,7115.667365,7576.292417
Other Transportation,551.6842698,716.1383385,652.964515,721.1922435,862.8913791,909.4209781,607.039711,343.3718476,426.1120518,380.6049395
Manufacturing Industries and Construction,46638.59794,48144.83457,50783.78563,51244.80687,69016.5241,72987.24909,67362.03722,73679.20688,80759.97733,78730.03043
Direct N2O Emissions from managed soils,11871.00546,11591.53415,11864.88188,13487.63499,13085.0632,12677.93188,13504.54002,15434.4223,16227.47421,17431.24296
Oil and Natural Gas,2430.525207,2732.369453,2875.192701,2999.852307,3265.130827,3386.735957,3602.82425,3755.674578,3983.089889,4248.149058
Other Process Uses of Carbonates,1211.331938,1310.753056,801.3803928,731.3167615,1210.751157,963.3670176,1094.675453,1212.357939,1234.142948,1290.879885
Railways,494.7955398,547.0626726,470.4041952,365.8699296,411.1680954,432.0749565,397.2302013,321.2481917,343.3446282,356.9424353
Metal Industry,2363.667448,2339.017085,2307.354008,2551.602204,2620.380658,2613.603511,2394.486137,2550.243986,2870.390789,2550.634632
Cement production,33530.67744,34108.94968,34025.06588,37074.87576,38992.32844,38937.74196,31958.26504,40320.10772,43692.93604,45291.45809
Non-Energy Products from Fuels and Solvent Use,760.8883413,628.6874158,479.2265107,372.4767443,380.4638984,453.6683424,389.042093,464.335821,474.5268571,436.75752
Water-borne Navigation,2089.35467,1546.468652,890.64108,966.274536,957.212154,1218.719462,1218.65687,1268.177981,1168.713041,1293.044216
Manure Management,8516.815868,8951.883959,9064.600512,9132.566429,9427.490497,10590.37185,10753.70779,11153.90844,11571.77003,12006.87621
Other Product Manufacture and Use,3279.463426,3335.021077,3391.611141,3437.720204,3524.529696,3569.463973,3597.545603,3628.444573,3662.451776,3690.43016
Urea application,795.7712839,776.442716,799.0712833,1276.785482,1428.89974,1239.542632,1269.556912,1633.34256,1800.196816,1984.096082
Residential and other sectors,63289.25633,62406.19469,64658.76675,64688.26801,71228.66844,61819.41143,68618.48751,73525.80644,84325.11385,79863.1388
Indirect N2O Emissions from manure management,32.34307665,34.45713321,35.25960889,36.24723514,37.62307636,41.77195872,42.03299361,44.28986599,46.09591741,47.98394223
Liming,1963.971429,1741.352381,1716.314286,2029.447619,1273.171429,990.314286,1077.580953,1352.476191,1381.25228,1381.25228
Biological Treatment of Solid Waste,24.01111849,25.5424259,27.00253448,27.98100218,26.76130686,23.78818349,25.46186181,23.84504638,23.21354876,22.59877534
Lime production,3300,3225,3300,3375,3525,3525,3450,3525,3600,3600
Wastewater Treatment and Discharge,13005.73956,13195.80086,13468.36953,13683.79166,13952.40208,14169.06017,14352.9647,14700.8885,14999.78039,15047.25117
Indirect N2O Emissions from managed soils,3226.541462,3200.078858,3257.575025,3780.663096,3823.612586,3750.99439,3913.773674,4437.120895,4693.679917,5020.826021
Indirect N2O emissions from the atmospheric deposition of nitrogen in NOx and NH3,1238.627285,1284.452081,1308.228758,1373.816435,1473.843586,1446.980518,1389.463146,1370.51776,1477.758145,1452.290804
Chemical Industry,15280.04872,15107.5436,15857.83051,15561.81787,15376.36032,15863.16155,15656.71779,19717.24101,23775.80842,21846.18991
Enteric Fermentation,29655.00579,30937.83936,31255.72477,30986.97059,31293.05054,36624.92765,38128.80869,39546.54217,41204.70565,42940.7947
Rice cultivations,969.4760141,972.0006912,1015.621501,1017.374749,959.9471112,1053.149775,1108.219295,1099.268964,1099.268964,1121.934303
Solid Waste Disposal,42753.8591,45698.61831,47640.77129,49582.97972,52526.14339,55469.30706,56479.64172,57489.97637,59459.81739,61497.15319
Incineration and Open Burning of Waste,483.8587425,412.3400845,412.5143789,666.901592,666.8180709,1790.674571,1791.355848,3680.881772,4334.555251,5104.315705
